Id, Artist, Type, Text
236, 伊秋水 (M/男), 0, 嗯 …… 喂 …… 呢 件 靚 嘞 ！
237, 鄺山笑 (M/男), 0, 點 着得 呀 ？ 一 埲 滁 嘅 噉 ……
238, 伊秋水 (M/男), 0, 件件 都 係 噉 㗎嘞 ！ 少爺 ！
239, 鄺山笑 (M/男), 0, 咪 搞 嘞 ！ 噉 邋遢 ， 唔 得 㗎 ！
240, 伊秋水 (M/男), 0, 褲衣婆 丟 埋 佢 啲 汗 咋嘛 ！ 唔 怕 嘅 ， 呢 陣 味 ！
241, 鄺山笑 (M/男), 0, 好 難 着 嘅 …… 點 得 吖 ！
242, 伊秋水 (M/男), 0, 我 搵 到 頭 都 刺 先至 搵 到 ， 你 唔 着 罷嘞 ！ 我 扐 返去 嘞 ！
243, 鄺山笑 (M/男), 0, 噉 扐 返去 點 呀 ？
244, 伊秋水 (M/男), 0, 哎 等 你 自己 搵 囉 ！ 點 呀 ？
245, 鄺山笑 (M/男), 0, 我 …… 去 邊道 搵 啫 ？
246, 伊秋水 (M/男), 0, 點 知 你 去 邊道 搵 啫 ？
247, 鄺山笑 (M/男), 0, …… 識 嗰 個 人 㗎嘛 ！
248, 伊秋水 (M/男), 0, 我 識 嗰 個 人 就 唔 去 嘞 ！ 如果 你 唔 ……
249, 鄺山笑 (M/男), 0, 唔 去 點 得 呀 ？
250, 伊秋水 (M/男), 0, 嚟 吖 ……
251, 伊秋水 (M/男), 0, 點 啫 噉 你 又 嫌 一 埲 滁 ……
252, 鄺山笑 (M/男), 0, 呢 件 乾淨 啲 喎 ！
253, 伊秋水 (M/男), 0, 都 係 咁 上下 ！
254, 鄺山笑 (M/男), 0, 呢 件 喇 ！ 係 就 …… 嗱 褲 呀 ！
255, 伊秋水 (M/男), 0, 幾多 銀 呀 ， 買 咗 ？
256, 伊秋水 (M/男), 0, 老爺 ！
257, 劉桂康 (M/男), 0, 嗯 ！
258, 伊秋水 (M/男), 0, 嗰 個 …… 櫃 嗰 啲 酒 使 唔 使 攞 兩 樽 呀 ？
259, 劉桂康 (M/男), 0, 櫃 ？
260, 伊秋水 (M/男), 0, 係 囉 ！
261, 劉桂康 (M/男), 0, 哦 ～ 攞 啲 添 ！
262, 劉桂康 (M/男), 0, 咦 ！ 個 邊位 呀 ？
263, 伊秋水 (M/男), 0, 吓 ？ 嗰 個 ？
264, 劉桂康 (M/男), 0, 係 囉 ！
265, 伊秋水 (M/男), 0, 你 慌 唔 係 ， 康記 嚟 修整 廁所 個 伙記 咩 ？
266, 劉桂康 (M/男), 0, 哦 ～ 整好 未 呀 ？
267, 伊秋水 (M/男), 0, 吓 ？
268, 劉桂康 (M/男), 0, 整好 未 呀 ？
269, 伊秋水 (M/男), 0, 佢 一定 整好 喇 ！ 唔 整好 就 走 ？
270, 劉桂康 (M/男), 0, 噉 你 …… 你 而家 去 三記 道 攞 啲 …… 酒 返 嚟 吖 ！
271, 伊秋水 (M/男), 0, 喔 ！
272, 劉桂康 (M/男), 0, 快 啲 去 噃 ！
273, 伊秋水 (M/男), 0, 噉 我 去 嘞 ！
